postID,date,time,platform,content_type,caption,hashtags,likes,comments,shares,saves,reach,engagement_rate
P00001,14-06-2024,17:06,twiter,video,Post about growth,#growth #marketing #socialmedia #trends,1285,I wish more posts explained it this clearly,404,49,3678,0.5881
P00002,05-02-2024,18:07,facebook,video,Post about brand building,#trends #content,2021,I tried something similar and got decent results,92,564,29862,0.0908
P00003,23-04-2024,04:34,youtube,video,Post about content strategy,#analytics #socialmedia #growth #trends,431,This aligns with what I’ve been seeing lately,570,136,2823,0.4803
P00004,07-10-2024,15:43,instagram,image,Post about engagement tips,#engagement #digital #branding #socialmedia,564,Appreciate the practical example here,577,61,10725,0.1223
P00005,23-12-2024,15:56,twiter,video,Post about engagement tips,#trends #socialmedia #strategy,2049,"Not groundbreaking, but very solid advice",83,588,21746,0.1376
P00006,02-08-2024,15:26,youtube,video,Post about growth,#trends #digital #strategy #engagement,1401,"Interesting approach, might test this soon",775,350,6401,0.4699
P00007,31-10-2024,02:17,instagram,video,Post about growth,#branding #engagement,4118,This actually answered a question I had,593,467,13150,0.4268
P00008,16-07-2024,19:07,instagram,image_caurosel,Post about analytics,#analytics #growth #content,2892,Makes sense when you see it laid out like this,23,472,26207,0.1327
P00009,11-09-2024,08:56,facebook,image,Post about brand building,#content #digital #trends,710,"Straight to the point, well done",170,459,7310,0.2223
P00010,18-03-2024,07:00,instagram,video,Post about analytics,#branding #marketing #analytics,729,I wish more posts explained it this clearly,180,154,4549,0.3089
P00011,30-09-2024,04:44,youtube,image,Post about brand building,#content #trends #strategy,3074,This aligns with what I’ve been seeing lately,624,579,23974,0.1989
P00012,03-09-2024,14:10,youtube,image,Post about brand building,#socialmedia #marketing,3330,"Short and informative, I like it",63,195,7763,0.4765
P00013,18-03-2024,02:55,facebook,video,Post about engagement tips,#branding #digital,4445,Easy to understand and practical,103,372,84908,0.0582
P00014,05-07-2024,15:30,twiter,image_caurosel,Post about analytics,#digital #branding,3934,"Helpful context, thanks for sharing",125,118,67926,0.0651
P00015,20-12-2024,16:23,facebook,video,Post about brand building,#strategy #branding,1372,Clear explanation without unnecessary hype,528,23,8116,0.2974
P00016,22-12-2024,07:34,twiter,video,Post about analytics,#growth #trends #content #digital,2189,"Straight to the point, well done",530,375,13156,0.2494
P00017,12-04-2024,08:30,twiter,image_caurosel,Post about brand building,#engagement #digital #strategy,4290,Clear explanation without unnecessary hype,504,364,8108,0.6385
P00018,22-04-2024,06:30,youtube,image,Post about content strategy,#socialmedia #trends #content #engagement,886,This gave me a new angle to think about,232,481,7351,0.2416
P00019,01-09-2024,23:25,instagram,image,Post about growth,#analytics #trends #strategy #marketing,1512,Simple but effective insight,444,340,4374,0.6198
P00020,29-10-2024,11:09,facebook,image_caurosel,Post about growth,#socialmedia #strategy #analytics #growth,3862,This gave me a new angle to think about,671,149,66056,0.076
P00021,18-04-2024,07:48,twiter,image,Post about brand building,#analytics #marketing #digital,279,This saves a lot of trial and error,257,217,2698,0.3758
P00022,05-12-2024,17:09,youtube,image,Post about analytics,#marketing #analytics #strategy #socialmedia,4828,"Helpful context, thanks for sharing",529,430,70600,0.083
P00023,12-11-2024,16:33,instagram,image_caurosel,Post about brand building,#growth #trends,1035,"Useful breakdown, especially the last part",569,63,11736,0.1722
P00024,22-01-2024,02:28,twiter,video,Post about brand building,#strategy #growth #branding #trends,850,"Not groundbreaking, but very solid advice",519,463,10073,0.1838
P00025,30-09-2024,08:59,facebook,image,Post about analytics,#socialmedia #content #engagement,3966,Good reminder of the basics,519,253,72564,0.0715
P00026,07-02-2024,09:50,youtube,image_caurosel,Post about content strategy,#branding #analytics,2021,This saves a lot of trial and error,438,74,15979,0.1802
P00027,22-04-2024,07:10,instagram,video,Post about engagement tips,#content #growth #digital,821,Good reminder of the basics,407,498,3508,0.5906
P00028,17-02-2024,14:45,youtube,image,Post about content strategy,#trends #branding #socialmedia #marketing,3047,"Straight to the point, well done",19,346,39377,0.0927
P00029,23-02-2024,05:17,facebook,image,Post about content strategy,#analytics #strategy #engagement,738,Good reminder of the basics,271,278,1406,1.2482
P00030,15-02-2024,02:17,youtube,video,Post about growth,#socialmedia #growth #trends,2336,"Useful breakdown, especially the last part",58,187,30229,0.1007
P00031,03-03-2024,08:39,facebook,image_caurosel,Post about brand building,#growth #socialmedia #analytics #engagement,3767,I tried something similar and got decent results,11,347,58543,0.0786
P00032,02-04-2024,06:18,instagram,video,Post about analytics,#digital #marketing #branding,1702,I tried something similar and got decent results,319,312,19124,0.1425
P00033,08-01-2024,16:30,facebook,image,Post about growth,#content #engagement #trends #branding,201,This actually answered a question I had,750,517,2478,0.6336
P00034,18-12-2024,22:46,facebook,image,Post about content strategy,#analytics #marketing,1812,Clear explanation without unnecessary hype,235,350,14849,0.1905
P00035,16-11-2024,21:53,instagram,video,Post about content strategy,#growth #branding #marketing #trends,2143,Appreciate the practical example here,441,167,5793,0.4832
P00036,21-03-2024,10:35,twiter,image_caurosel,Post about growth,#growth #digital #analytics,2253,This was genuinely helpful for my workflow,456,3,19524,0.1487
P00037,20-06-2024,20:12,facebook,video,Post about growth,#branding #socialmedia,3176,Simple but effective insight,85,486,21475,0.1867
P00038,23-07-2024,09:40,facebook,image_caurosel,Post about brand building,#analytics #content #digital #engagement,4857,"Helpful context, thanks for sharing",42,403,7825,0.6978
P00039,17-03-2024,22:57,instagram,video,Post about brand building,#strategy #trends,2377,"Short and informative, I like it",741,148,5266,0.7013
P00040,09-01-2024,01:08,twiter,image_caurosel,Post about engagement tips,#strategy #marketing #trends,4834,This confirms what our data showed,728,235,16007,0.3634
P00041,14-12-2024,02:47,youtube,video,Post about brand building,#engagement #branding,2053,Clear explanation without unnecessary hype,501,270,2290,1.3371
P00042,15-05-2024,20:29,instagram,image,Post about growth,#branding #marketing #growth,1973,Clear explanation without unnecessary hype,746,210,17114,0.1935
P00043,03-11-2024,22:19,facebook,image_caurosel,Post about engagement tips,#engagement #branding,1257,This aligns with what I’ve been seeing lately,339,260,22626,0.099
P00044,20-12-2024,16:18,instagram,image,Post about engagement tips,#strategy #growth,1833,This actually answered a question I had,691,501,20914,0.1622
